dates,diamonds,butter,cars,cucumber,bananas
2000-10-23,1.0853144908972923,1.8492391196783602,2.636665614085636,0.7610917313479504,5.338461364004658
2000-10-24,1.0743987051055368,1.9813978032886317,2.6161019321644075,0.7728438853512425,5.324225835225371
2000-10-25,1.0629828569467488,1.668365362914304,2.6087993978877035,0.7724381961198675,5.273977322422654
2000-10-26,1.0353697425367117,1.7015283462924415,2.58380146419573,0.7682472496914908,5.230115141813953
2000-10-27,1.0675422844183002,1.6716589473505574,2.557669180918148,0.7744325837816207,5.234248046225314
2000-10-30,1.119431892074115,1.7098110622981275,2.586114751496316,0.7750644663073242,5.216201617027448
2000-10-31,1.1810191667121719,1.6568875549156543,2.5714973972265827,0.774878684476285,5.181705793992807
2000-11-01,1.1780681077205275,1.879235326600617,2.558320055606241,0.7871655617972166,5.168805427471488
2000-11-02,1.1640943811499729,1.6646434270048511,2.5395650745055667,0.7866632664524327,5.133073265053131
2000-11-03,1.1949106912398852,1.727676889889137,2.5177942915304437,0.7881468184545296,5.106492420963028
2000-11-06,1.1860045163783732,1.6425931190384908,2.508469100732299,0.7934803654138236,5.085847587647271
2000-11-07,1.176037497874662,1.811870351228824,2.4899126938277436,0.7911014203950523,5.082115801139743
2000-11-08,1.1688211503313135,1.94761601962416,2.474544915980098,0.787913289275269,5.077959440413832
2000-11-09,1.1577493421330083,1.849668373644414,2.499673527984806,0.7872700794191821,5.04442741751112
2000-11-10,1.1490498445277593,2.9896589523138144,2.4917288480932296,0.7982161629355521,5.0501648631259695
2000-11-13,1.1471815820846878,2.187436271318831,2.478061033532641,0.8153632518939078,5.016659932931066
2000-11-14,1.1899383851394627,1.8990416548874343,2.46263203455461,0.8123559820818226,5.035271322841727
2000-11-15,1.192451182537547,2.0972698192251515,2.450575083739684,0.827777933672888,5.0033882720676806
2000-11-16,1.1885317278303038,2.3185598811873183,2.45329070990933,0.831302217423902,5.007446333077548
2000-11-17,1.173204127570634,2.0916273320611003,2.4492097287534023,0.8290421249767894,4.985128631821014
2000-11-20,1.1660904951576778,2.569074406467365,2.4376378321202803,0.8281506103873897,4.999372075989799
2000-11-21,1.180777140602981,3.4671957791079433,2.470298997288634,0.8235025986820967,4.9834348730615226
2000-11-22,1.173628122265245,2.5609725618984784,2.4723750441002017,0.8292094476797298,4.959004238790527
2000-11-23,1.1804696289420402,2.628994072707552,2.4622463551198623,0.8198442146769562,4.937008832663573
2000-11-24,1.1741916002819353,2.289711387471873,2.462338628174276,0.8160814884978871,4.9407848909715675
2000-11-27,1.1614159673079334,2.164712966470856,2.5026775113812976,0.8175022272268749,4.953117493570442
2000-11-28,1.1596923939711143,1.8490873205066911,2.4940559256813892,0.8133490284819276,4.933674119325867
2000-11-29,1.1614004212678675,2.868723695435785,2.482005525682246,0.809420382905843,4.913716981657256
2000-11-30,1.1635778513030504,2.5772028171925756,2.477040756315992,0.8086411945672394,4.907808598245898
2000-12-01,1.161857191378682,2.244761626185624,2.478601762141798,0.8052610994517813,4.889553960822757
2000-12-04,1.1542436538192267,2.2307584814713644,2.496651339124637,0.8042046029564017,4.913150208888538
2000-12-05,1.15284749200223,2.553997866941109,2.4874096581192613,0.8006342800907196,4.894085391349165
2000-12-06,1.1520183880920214,2.414433538583315,2.4839784202801747,0.7974774964927528,4.888232981030592
2000-12-07,1.15894291378322,2.8856005965396254,2.4783122065686483,0.8118338688561396,4.86972252708319
2000-12-08,1.1639812141118573,3.7590916558628145,2.4724937871487973,0.8103627201955773,4.867391927227799
2000-12-11,1.166147551875436,3.339279297794976,2.4682187812224674,0.8123590653231626,4.86198685815724
2000-12-12,1.1614594885035692,2.94747217359636,2.465464742493552,0.8194895929070618,4.872205567865858
2000-12-13,1.1625177537476472,2.636187007287995,2.5003685457241445,0.8164750234222095,4.885668725564887
2000-12-14,1.169192822249055,2.4109940095834874,2.494512479793336,0.8132379254542783,4.895024987322002
2000-12-15,1.1681269387742241,2.2040439449145244,2.485109598512322,0.8148674058452947,4.993102801926234
2000-12-18,1.1675126196662735,3.023857795196635,2.480134697311663,0.8118815530339714,5.030672084443461
2000-12-19,1.1811066224067701,2.777723180649267,2.460454799035273,0.8092555029942163,5.032235175311907
2000-12-20,1.1786850961347024,2.687044584302092,2.4721060778526183,0.8074464884874073,5.036824083860223
2000-12-21,1.187598747196746,2.4206112984426147,2.4633018347412694,0.8062586381859751,5.0836962731366775
2000-12-22,1.229982074302706,2.176834729608386,2.454989130307547,0.8802241948893024,5.541562628290701
2000-12-26,1.2114182796616546,2.017525901827229,2.4411408113469117,0.8771438405578232,5.072991741477212
2000-12-27,1.2542145680527332,1.9210539008669656,2.4658837563323925,0.8975802159851761,5.46751236284874
2000-12-28,1.2197879399748943,2.165097130863991,2.4579503123507096,0.8897029667861035,5.5977601750574895
2000-12-29,1.187149507059328,1.9934920744775566,2.4551681170611004,0.9169138502175557,5.481817507249056
2001-01-02,1.181035793470037,2.4230874445497825,2.454174481777845,0.9079665096472774,5.343649806866766
2001-01-03,1.1876604029963176,2.2811786553679623,2.4368100207375236,0.908445321346302,4.967348571090537
2001-01-04,1.2105604173130542,2.1716322987599406,2.431506229081289,0.8945880310969332,5.912946598268399
2001-01-05,1.2068222841981948,2.152260122884883,2.4100673311538268,0.8885369661450192,5.63112028460676
2001-01-08,1.2030208970141953,2.1526235194788543,2.40914795825323,0.8794862796852092,5.84061566805362
2001-01-09,1.1987243494082456,2.2345736410423105,2.443796442118214,0.8682546826755672,5.6023899027819555
2001-01-10,1.1883864943416866,2.458094808338544,2.447924856558045,0.8812222090036955,5.423495381745413
2001-01-11,1.2049449566457404,2.38481891371433,2.4099988078468604,0.8700578516094591,5.301568336202761
2001-01-12,1.1859230544886958,2.3305928368414546,2.3829921502884295,0.8772010754997757,5.239210825294386
2001-01-15,1.1824325084383234,3.178608406911892,2.434453956051123,0.8737775274913642,5.109874306314234
2001-01-16,1.1799032546182504,3.085051586868761,2.4010539547686474,0.858926657267586,5.022396082786787
2001-01-17,1.2199338370974333,2.989122575272584,2.4235906869145185,0.8482039901414238,5.243251035078305
2001-01-18,1.1803816125537765,2.9305862703810304,2.4166843709136843,0.815161192782569,5.375556676464093
2001-01-19,1.1790543708745178,2.865376734778872,2.4059022466686977,0.870651217872662,5.218907460394236
2001-01-22,1.2223003265156305,2.8141013142077735,2.4115648829040666,0.8567984595479646,5.108931575335937
2001-01-23,1.3472014761430307,3.0057920846099475,2.41924239993932,0.8718305156744657,5.0187860455246565
2001-01-24,1.1790698314474706,3.0160173458967034,2.419897793551621,0.8711211885747047,4.954866954955264
2001-01-25,1.2044371782188725,3.1586032380735394,2.372326630963219,0.8702600676557379,4.898791630497058
2001-01-26,1.3575151726966401,3.1978308777836015,2.409590006116905,0.8179244847697338,4.7996018967362195
2001-01-29,1.2113860071585036,3.47160298284977,2.3863978088333555,0.8192972523452862,4.686631503161153
2001-01-30,1.1927709827769317,3.375050441882745,2.390274336268412,0.8175197553994957,4.876261636555992
2001-01-31,1.186936441137401,3.28732405030972,2.3958138371191118,0.8621169978872796,4.989821964470257
2001-02-01,1.1922468985251433,3.206295106409852,2.377446676524411,0.8596813689050685,4.885681892533219
2001-02-02,1.2045467152037153,3.2335592263920963,2.3767660051256874,0.8115260039062611,4.820441493239574
2001-02-05,1.2164210952850063,3.702199418733339,2.408214262315872,0.813917239483292,4.831226246896877
2001-02-06,1.195048526461959,3.59703463206959,2.3886689873694866,0.8131421521190595,4.814128847262603
2001-02-07,1.1949033831748355,3.561067248293548,2.397650307999421,0.8124919296543703,4.698683174192389
2001-02-08,1.192594061454257,3.556745805528829,2.3832895423179066,0.8067149681711484,4.582776829720458
2001-02-09,1.1885021732432486,3.478599867405118,2.3607205448109845,0.8479057748037001,4.440974012850015
2001-02-12,1.1898334060199516,3.3844598847821494,2.3317757329314905,0.8624648188607204,4.3185115770045766
2001-02-13,1.1882673104702492,3.2831832211617225,2.317216227193967,0.8580616817282734,4.190635441106406
2001-02-14,1.1839937065742792,3.2452641478871094,2.2799685927118944,0.8708816434066791,4.057072891725324
2001-02-15,1.183163438667912,3.190147544548637,2.2293643948910806,0.8622084143372136,3.940471948085588
2001-02-16,1.1866566469471975,3.1399089625848746,2.2145335133697177,0.856158369291807,4.3744858505397275
2001-02-19,1.1656867174162473,3.2763032306045035,2.1804085458888176,0.8616534344907325,4.305269598920423
2001-02-20,1.1887791045553586,3.224535296882158,2.139254000069052,0.8557488614599741,4.3515477784873635
2001-02-21,1.213544126339301,3.171676824082556,2.148791881154028,0.8500061104554963,4.218476109299612
2001-02-22,1.1546503688883591,3.113928178663546,2.105676779425827,0.8494479869034929,4.382538372021207
2001-02-23,1.177491764369651,3.084212070705635,2.070301305806345,0.8446683637274027,4.286743028804988
2001-02-26,1.1495416786942503,3.1083851394728765,1.9838101297431296,0.8396400412366358,4.113624507861873
2001-02-27,1.2426478607637115,2.9119566432590593,1.920650073367413,0.8373506721039965,3.9902972542405957
2001-02-28,1.267804403655144,2.9134172966501994,1.9110656154486996,0.8330441966078154,4.543370058857386
2001-03-01,1.2309365614249046,3.149055360932701,1.6315372097151846,0.8288495882426746,4.497202194307365
2001-03-02,1.1519432600623927,2.951018091778002,1.5933618685981272,0.8251843486023449,4.483502820147539
2001-03-05,1.2605471241963513,3.0715330222964545,1.803597770346164,0.82261487905265,4.422286583772388
2001-03-06,1.2619116269072237,2.9391026021003444,1.7326974945845013,0.8202574348656912,4.3748841592474355
2001-03-07,1.1632019577078492,2.9220123155569224,1.7535115061794282,0.8172145661934426,4.244224513415329
2001-03-08,1.2168836716729072,2.92705459556004,1.7236857598126636,0.8156743958580271,4.09767864657639
2001-03-09,1.2126407934924326,3.0332479634008047,1.932159246030202,0.8165437960122186,4.615049948767733
2001-03-12,1.2079597459429305,2.988806430345024,1.8795927256084533,0.82091143930205,4.470897586672931
2001-03-13,1.1519827005012928,2.88354420570779,1.793249517745561,0.8184432778190457,4.4035539078314
2001-03-14,1.1648862845926276,2.7150779294231038,1.8964236029658375,0.8163160474573634,4.270824127913041
2001-03-15,1.1525522541660924,2.675973417257963,1.8605523745389587,0.814885095309238,4.275195177798276
2001-03-16,1.1636641647646577,2.5426208879234586,1.8823744221411138,0.8119169724311488,4.149071017376038
2001-03-19,1.1737188997215342,3.012073508583014,1.892685397138962,0.8092517548490387,4.00926246471726
2001-03-20,1.1375344173825426,2.9178744235986156,1.8785024087205973,0.8064779368720555,4.040511443607524
2001-03-21,1.1668576686104415,2.838803476160483,1.868800712611484,0.8091873350786569,4.327259987873743
2001-03-22,1.4610629265149373,2.977106703404723,1.8490322542256863,0.808941161222402,4.446179082601334
2001-03-23,1.1727511770845827,2.9628282099883174,1.80421966949864,0.8134058659928987,4.481262167633956
2001-03-26,1.1804498308986902,2.9675016522484134,1.787741562826818,0.8124456646759526,5.280261886007278
2001-03-27,1.2009055095930843,3.0139399974958394,1.8157858555750612,0.8100223690138609,5.026373612456886
2001-03-28,1.2077901058887475,2.9507703205309412,1.815545624831641,0.8093070259944352,4.778328462876754
2001-03-29,1.223249806459755,2.848016438563439,1.7877002546656915,0.8112294899398075,4.570447756262747
2001-03-30,1.2212734501631883,2.9358814674259937,1.7776464491082187,0.8138063693582895,4.484068785885245
2001-04-02,1.178815763647564,2.9078463702729045,1.7722344563712396,0.8123625997097885,4.351986532705823
2001-04-03,1.2185496766555013,2.8202961089736673,1.7663946367493717,0.813643090913765,4.2103758331522005
2001-04-04,1.218868399467754,2.723110641643308,1.7875522890550382,0.8146426378499069,4.124541793058568
2001-04-05,1.1825052443829511,2.7380429991180173,1.8282602282325349,0.8147570042052492,4.1410932079583755
2001-04-06,1.216108846085711,2.6530873356460214,1.7691663562391307,0.8142302837405548,4.1296668101696214
2001-04-09,1.213436403330455,2.5670799079440294,1.7525365537461963,0.81318122054034,4.0028433006692525
2001-04-10,1.2119015164133027,2.538516870037081,1.8362676730009286,0.8150363129150519,4.061352042079596
2001-04-11,1.2139046910403017,2.508545701644822,1.8405140521722132,0.7763211391433221,4.04293759479106
2001-04-12,1.2140378851521825,2.475538042358931,1.9012770740833527,0.8109614706847048,3.9973272300101845
2001-04-13,1.2269633503023114,2.480346238907921,1.913057495093008,0.7464986921070396,3.900700421309113
2001-04-16,1.2269137194386592,2.420144654356967,1.9024484124512029,0.8062489834446643,4.30480271749578
2001-04-17,1.2287827767132184,2.42284480585682,1.8592040887453904,0.7481586630632577,4.132709721336858
2001-04-18,1.2275057505658409,2.340378463743994,1.8559462488236558,0.7313473292160281,4.688375423506554
2001-04-19,1.2384365178173489,2.2864226799329868,1.8742106761824833,0.7361602174625189,4.457056769462385
2001-04-20,1.206902823350398,2.2486306758651353,1.8729484657819426,0.7190344761635435,4.614785329374725
2001-04-23,1.2203053631331502,2.1636681784141674,1.8096331441145657,0.7044097337937154,4.80067580293055
2001-04-24,1.2244059074187674,2.1884314642430707,1.7854958300693644,0.685611682808907,4.5754493726324945
2001-04-25,1.201794478113972,2.2329517353504853,1.7522938409039408,0.6761180849661439,4.396857297381546
2001-04-26,1.1968078035394847,2.5127913347756192,1.7987297720941067,0.7680591769641518,4.291992933103611
2001-04-27,1.3388291119910016,2.4718974442851533,1.8201339960412224,0.7609148301650016,4.854298811374366
2001-04-30,1.2183924574998943,2.474280843094032,1.8466603113606095,0.6911087431909543,4.666212679215265
2001-05-01,1.221227390196632,2.444709411806289,1.818505835357323,0.7520316851793731,4.619647468218556
2001-05-02,1.2160343572520744,2.382449985250424,1.848799245323112,0.7500821670648593,4.736872184937425
2001-05-03,1.2119208216072284,2.4242408084943876,1.8669878269372036,0.7800760081590421,4.554451261570293
2001-05-04,1.2157118378949163,2.3722062751421835,1.8766331065693196,0.777481754338381,4.40048576059882
2001-05-07,1.230894733803203,2.3468114018643536,1.9425760536796945,0.7777366269180712,4.298712213483392
2001-05-08,1.2318393822970044,2.509569644955994,2.2393122218599766,0.7735323261721018,4.215931793342015
2001-05-09,1.22708043921892,2.4566399714259695,1.9524989518664775,0.7137673114545622,4.317013551098851
2001-05-10,1.2213489122848422,2.4064427085233313,1.9854108522913136,0.7697612504316257,4.6916131035316395
2001-05-11,1.2059446145428065,2.385637037211782,1.9924405804212117,0.7337821647025885,5.755321696448271
2001-05-14,1.2027426772840526,2.3818704695102086,1.9656124010943488,0.7445320117441432,5.314126335287754
2001-05-15,1.2062323646903572,2.3406360869864877,2.0398910746019245,0.7360562191152736,5.0639827507017205
2001-05-16,1.2075858459573308,2.4079654768139234,2.035511084224507,0.7266204159457524,4.993628057597567
2001-05-17,1.2039947965124582,2.36428132987845,2.0344082112233077,0.7117365684747219,4.798081816081035
2001-05-18,1.199529778904161,2.4236085269850585,2.5233031499028478,0.722517579460071,4.6177329446576385
2001-05-21,1.1975831004924773,2.4141319721610586,3.1505276056895264,0.7126408091410135,4.458366571860577
2001-05-22,1.196631366566568,2.391960894784536,2.8967938904858883,0.7361767490607359,4.358282490530564
2001-05-23,1.1935287059407533,2.36171537167092,2.7039115971555048,0.7270610032179009,4.231803123924035
2001-05-24,1.1900381774228148,2.3130023796603982,2.610664001566664,0.7251605706861728,4.760209135765696
2001-05-25,1.2337273743047878,2.415653976224413,2.4788947984808973,0.7421427203648516,4.72849514542094
2001-05-28,1.2354524663784816,2.4059158178687996,3.0833155470990183,0.7397914909755473,4.5691351751013904
2001-05-29,1.189943357482815,2.4347737648541505,3.041935584176428,0.7229078629941997,4.54242435973224
2001-05-30,1.1878562938604273,2.417255884119999,3.0967097027896004,0.7204032043973442,4.4023246616980165
2001-05-31,1.1905103717920433,2.4361192823822106,3.2022501468387623,0.6998001179152797,4.364704060350538
2001-06-01,1.2161790398530057,2.5211490510333405,3.1749386831045414,0.7625690981449758,4.239134583580895
2001-06-04,1.2159672590825192,2.511235022540968,3.0030670234401438,0.7839275190985403,4.568594514429638
2001-06-05,1.2073070221431639,2.4922278061065892,2.8416269413676103,0.7811379630311075,4.435364060413828
2001-06-06,1.206046330211046,2.4759764576688346,2.943587093993262,0.7928769861884659,4.389886597297425
2001-06-07,1.2060326425140349,2.5436452277594723,3.1562395289374297,0.7818408940603948,4.391814546921374
2001-06-08,1.2037858235298746,2.5908920205336075,3.0228619936877195,0.7120910392007997,4.262906806951093
2001-06-11,1.2444507482044038,2.554777059172203,2.881370466138838,0.7027823035072741,4.207028489266172
2001-06-12,1.2488680281299194,2.527428001419764,2.8778885143848276,0.6903306106955884,4.163611578059372
2001-06-13,1.199183694533213,2.5649082607561846,2.7130198621250705,0.6817610463942381,4.442517263482473
2001-06-14,1.2399540152780644,2.5430301180631076,4.070001950105999,0.6747716140094697,4.544610542821274
2001-06-15,1.234063009564537,2.5620460944028625,3.8704634032622134,0.6887750793708484,4.776476456301422
2001-06-18,1.2377923571513614,2.5303303475899863,3.701635727976384,0.6952691719600119,5.039536470480884
2001-06-19,1.2308459563446397,2.499454202688542,3.649123841957744,0.6855819311510718,5.252222048778006
2001-06-20,1.2637026537528941,2.4694411418161435,3.470957053456193,0.6706979387988308,4.980201641593239
2001-06-21,1.2533157793614529,2.484145389338812,3.333029479292509,0.7091010645547116,4.805295933162935
2001-06-22,1.2495780636246938,2.510030861124164,3.4813343673341772,0.7107197333130364,4.619634757943333
2001-06-25,1.2107881399728633,2.481654838800617,3.322911262744253,0.6981028346892285,4.490277984656799
2001-06-26,1.2101011359388234,2.455036729356401,3.1749577924832577,0.6948901321762622,4.363862850128565
2001-06-27,1.2064254338310105,2.4260532584476144,3.392918982385278,0.6879622623822608,4.392492161069527
2001-06-28,1.2246907722769524,2.512903155419016,3.249990993151353,0.6969152775937625,4.25886694990434
2001-06-29,1.22587060954523,2.5406936195863072,3.1133110425928243,0.7068337314536263,4.5067385705002305
2001-07-02,1.220929333078154,2.517449151903146,3.015749724088936,0.7111670520092261,4.348694637137213
2001-07-03,1.217611191569955,2.4948753959317465,2.8794704274531537,0.7151371829380909,4.496218893346175
2001-07-04,1.2134812420030465,2.5229568436139513,3.342899918224442,0.7052665714812625,4.513084615216937
2001-07-05,1.2098426716795503,2.5150248449751795,4.084572893472452,0.6726417719304814,4.400809092330933
2001-07-06,1.2071531598493428,2.569931449266251,4.120133128422706,0.6651223195522842,4.283126399974692
2001-07-09,1.2040863426327941,2.5656644558883417,3.9851691203410766,0.6709245246168067,4.331986277206752
2001-07-10,1.2012689511837167,2.595248052248387,3.899097680762125,0.6582848234005084,4.491196018666987
2001-07-11,1.2026795756023514,2.5746199073543092,3.9539421990723276,0.6495099543308385,4.339520933675649
2001-07-12,1.2036435737117446,2.5641162061945857,3.84633294150756,0.634522341656608,4.2352365078928695
2001-07-13,1.218047528801192,2.5442301859015934,3.738536838646718,0.6385915515358421,4.220897092901548
2001-07-16,1.2166079417626556,2.532507337568511,3.630789928219728,0.6494069085330346,4.219945362603333
2001-07-17,1.217178695803607,2.5493558610912763,3.549608601991873,0.6500818631203975,4.219259513485616
2001-07-18,1.213325967499581,2.5570812981571103,3.768664683077934,0.6454806832110839,4.361445094220816
2001-07-19,1.2175740683821061,2.5489451673660777,3.651879742317592,0.6392904205423037,4.789036351777101
2001-07-20,1.2150176498093466,2.515161968241766,3.7853770862493072,0.6270666918388279,5.229860727058498
2001-07-23,1.2157585251475214,2.4960243640974156,4.626206619053549,0.6281660884188736,4.71038333360577
2001-07-24,1.2115349994787945,2.4655930470640275,4.706069628784719,0.6254688105674878,5.334628555358374
2001-07-25,1.2247252518235598,2.4159454032656646,4.560195263013803,0.6216206365745647,4.828291950328613
2001-07-26,1.2266860841994627,2.2910407493831157,4.502548693756041,0.6180700396588973,4.633209101911989
2001-07-27,1.224235183881024,2.3124309045472247,4.3934028985322255,0.6477454322457438,4.479651306291073
2001-07-30,1.2252482075630127,2.3921614031595606,4.277187219593458,0.6439431652799171,4.470766255011608
2001-07-31,1.2213962562137397,2.398064503316582,4.139538757921687,0.6496478364340967,4.653947371868382
2001-08-01,1.2197007398888124,2.438696342423844,4.063040116055071,0.646734925988501,4.538639041324111
2001-08-02,1.210063301211481,2.3831108619099792,4.120315806480149,0.6380245152731452,4.617031227812584
2001-08-03,1.209523550996354,2.2834679374708857,4.367688181356367,0.6362337485370849,4.573041968689882
2001-08-06,1.2053935622299536,2.2347506492943525,4.4750964724180875,0.6424674606151634,5.184611380126162
2001-08-07,1.2027665407698886,2.179212870824457,4.542457157498033,0.6347602265403488,5.115080210936165
2001-08-08,1.1995452791875045,2.1306408145427396,4.522814536109364,0.6402928223320693,4.886890057531717
2001-08-09,1.203868563239044,2.07863467679562,4.3723086840744205,0.6658051157122703,16.21088887872399
2001-08-10,1.193120292866643,2.089599136074646,4.2310038749531635,0.6594827861051801,14.67152251169077
2001-08-13,1.1944509393921519,2.3575689067868892,4.094224357039841,0.6555064336265349,13.0575982265768
2001-08-14,1.2104499833263036,2.4715831094014478,4.216835447420959,0.6509116430273947,15.160153930019742
2001-08-15,1.2098372121766598,2.49347823055744,4.093676008458192,0.6437110397092342,13.829602231457567
2001-08-16,1.2278021074061607,2.4804672978175732,4.2542713475245355,0.6435110975548155,15.268395793782103
2001-08-17,1.2157834754538326,2.4889348336152928,4.2635338973028505,0.6488361573021155,15.07899204701682
2001-08-20,1.2178433008681264,3.3558794117436594,4.398288399209911,0.6472679209800081,14.542735204596623
2001-08-21,1.2131382731713312,3.1980175041735657,4.277298197975224,0.6776129308180517,14.008620498133418
2001-08-22,1.2151219403265634,4.116250569257242,4.235510686269335,0.6736937300914899,15.25586847146198
2001-08-23,1.2281027489153726,3.8789983667209733,4.097686155372481,0.670640055786523,13.61082857562393
2001-08-24,1.2263150806533611,3.7572296975324657,3.9549608912733576,0.6837749177390119,11.8968205907783
2001-08-27,1.2233118448393663,4.3196888956877935,3.8611637158638987,0.6809289445706997,11.305292670200252
2001-08-28,1.2531443062789698,4.640702146793582,3.7814939225367947,0.6767450208526463,10.254530861910977
2001-08-29,1.23525053215646,4.292445694234105,3.619846582436916,0.6730766050485355,8.65156451282224
2001-08-30,1.2613411576922489,3.987278300855123,4.276395149485162,0.6707628988093688,11.878298542841408
