,titan,io,callisto,europa,ganymede
1995-02-17,5.718169521795602e-05,3.62979024297605e-05,5.472229113245852e-05,0.00010739131977710592,4.591567238532157e-05
1995-02-18,5.650482507735255e-05,3.637416188539966e-05,5.461627760183774e-05,0.00010643104486973698,4.5812649088095014e-05
1995-02-19,5.641628239505536e-05,3.6385598786603524e-05,5.4489556721382115e-05,0.00010381380106228022,4.501019739322487e-05
1995-02-20,5.490213999581606e-05,3.683205636306752e-05,5.399289279917063e-05,0.0001029071909037782,4.454279475263334e-05
1995-02-21,5.471028893699881e-05,3.628956200607547e-05,5.3615349383973054e-05,0.000103164533659994,4.2942660950950895e-05
1995-02-22,5.441980833365001e-05,3.664455240448561e-05,5.3671330475735246e-05,0.00010366628777624953,4.174244452226361e-05
1995-02-23,5.43702431847759e-05,3.549963739946094e-05,5.396635097176805e-05,0.00010239986929105882,4.179685443439496e-05
1995-02-24,5.3860903485247746e-05,3.5248968912826584e-05,5.479846240996622e-05,0.00010287315423340715,4.1883114087371e-05
1995-02-25,5.367620260621209e-05,3.809888690109453e-05,5.5113257044547836e-05,0.00010259585305316676,4.174374776444445e-05
1995-02-26,5.4134063050215175e-05,3.571159877879815e-05,5.4466842013045635e-05,0.00010161954024545672,4.199874287413863e-05
1995-02-27,5.2191351531449826e-05,3.713490742329739e-05,5.4730131944458194e-05,0.00010240279876261305,4.1436499892633094e-05
1995-02-28,5.055907030060425e-05,3.5764817926553505e-05,5.5178632554664375e-05,0.00010190522085928855,4.104183921760374e-05
1995-03-01,5.1510119528197507e-05,3.83956092655513e-05,5.493939221579147e-05,0.00010151358992827042,3.946198457116523e-05
1995-03-02,5.0940277286137814e-05,3.93616204270586e-05,5.4651507779945874e-05,0.00010015292222687044,3.8889029083666316e-05
1995-03-03,5.066112151763669e-05,3.789869643044952e-05,5.4573644934219345e-05,9.898851280909504e-05,3.8891333631774216e-05
1995-03-04,5.1104910231192235e-05,3.895387971608599e-05,5.40834430153847e-05,9.988258952131623e-05,3.772268315604954e-05
1995-03-05,5.107738617282642e-05,3.674853422253044e-05,5.38129537588361e-05,0.00010065332702846597,3.7447530434331355e-05
1995-03-06,5.136173443709424e-05,3.916732355002672e-05,5.3196473936312216e-05,9.99384300075512e-05,3.7356381253461635e-05
1995-03-07,5.0404538183945746e-05,3.8581405464643836e-05,5.311900312521267e-05,9.955902841407571e-05,3.6892988183101494e-05
1995-03-08,4.9595329544516176e-05,4.038208262047149e-05,5.239208469443035e-05,9.934475832662493e-05,3.561285894981836e-05
1995-03-09,4.984754556636162e-05,3.778480013960639e-05,5.244545222349295e-05,9.986230992486966e-05,3.470503109137546e-05
1995-03-10,4.9800028813384856e-05,3.7135923608655474e-05,5.310632102983881e-05,9.985494339037615e-05,3.468126409478245e-05
1995-03-11,4.983351196363728e-05,3.748186403607079e-05,5.3354980374065164e-05,9.974849452376588e-05,3.487296896698133e-05
1995-03-12,5.020335131744602e-05,3.866979372690871e-05,5.370512638003255e-05,0.00010012193380348755,3.457779238447145e-05
1995-03-13,4.948879308663834e-05,3.8196254821931674e-05,5.3481262876298175e-05,0.00010153611082164282,3.392702850280038e-05
1995-03-14,4.824818205340087e-05,3.815415241881226e-05,5.363095328125844e-05,0.00010167800936566884,3.334556622625051e-05
1995-03-15,4.8384810328316874e-05,3.581769021665515e-05,5.310541203140673e-05,0.00010092600999045409,3.344873164756734e-05
1995-03-16,4.8986043585053096e-05,3.570279111153596e-05,5.3355309684866015e-05,0.00010305919317743495,3.2916781815384155e-05
1995-03-17,4.763671820362525e-05,3.7567351900413826e-05,5.30312977857772e-05,0.00010152150316411479,3.2289578314470546e-05
1995-03-18,4.7363152163582e-05,3.911420655566822e-05,5.287790291164107e-05,0.00010085589413355578,3.149822286530046e-05
1995-03-19,4.710668027674281e-05,4.036477010105344e-05,5.2155031162959276e-05,0.00010072700983676519,3.2067940086699664e-05
1995-03-20,4.694674608685112e-05,3.99758414670881e-05,5.183359979898938e-05,0.00010046618212711245,3.1896543256859644e-05
1995-03-21,4.6788954686904916e-05,3.843210821541376e-05,5.135172212611394e-05,9.927957576083557e-05,3.1371314930694894e-05
1995-03-22,4.6446294922564135e-05,3.693680894634177e-05,5.11908169111841e-05,9.681236867731258e-05,3.140939112955543e-05
1995-03-23,4.597800656247486e-05,3.699586534766652e-05,5.098710820727881e-05,9.695749422888866e-05,3.105857047147609e-05
1995-03-24,4.455924328583549e-05,3.5321693312662106e-05,5.061289165819716e-05,9.45678832016128e-05,3.0455530620310256e-05
1995-03-25,4.6533952086313946e-05,3.496868480890036e-05,5.042638462415816e-05,9.634624115384405e-05,3.082684477151432e-05
1995-03-26,4.589181012781829e-05,3.572198917201064e-05,5.005379730627091e-05,9.760336208386455e-05,3.0521753240364546e-05
1995-03-27,4.445706645550551e-05,3.5834230295073155e-05,5.022296245216218e-05,9.669418543101216e-05,2.8941657109315955e-05
1995-03-28,4.545989904070069e-05,3.6075140310565246e-05,4.974816885061628e-05,9.614309203720417e-05,2.8136099301523387e-05
1995-03-29,4.410843949709253e-05,3.547859715613555e-05,4.9388537161298984e-05,9.512593790161894e-05,2.869718973075308e-05
1995-03-30,4.4034349866883815e-05,3.7711654341743284e-05,4.9227018321884586e-05,9.453220344868285e-05,2.8438006715036934e-05
1995-03-31,4.2771129463048396e-05,3.8700611096231796e-05,4.872501330566159e-05,9.569176078905173e-05,2.793564181491348e-05
1995-04-01,4.082042831932142e-05,3.726892161104445e-05,4.8352577021848475e-05,9.677471285218786e-05,2.7108802623354578e-05
1995-04-02,4.118104921491117e-05,3.540514300226505e-05,4.7943885786994045e-05,9.805847268351542e-05,2.633263417139986e-05
1995-04-03,4.046347704500519e-05,3.629078388445173e-05,4.7578534942527284e-05,9.742836833437352e-05,2.5980720610663255e-05
1995-04-04,3.977638935381833e-05,3.89792464798866e-05,4.737592503190058e-05,9.773702054016731e-05,2.5142870347494295e-05
1995-04-05,3.974462329403572e-05,4.036451972289079e-05,4.767924386261946e-05,9.823481668980172e-05,2.4185868982895542e-05
1995-04-06,3.962004792668061e-05,4.237039435994738e-05,4.820729742438523e-05,9.834041183776066e-05,2.4037654243524997e-05
1995-04-07,3.8919040979745745e-05,4.299556292020057e-05,4.8888698486848625e-05,9.929070078062985e-05,2.3220063124496093e-05
1995-04-08,3.76713590404254e-05,4.1604788386440106e-05,4.883298068469877e-05,9.927536321185926e-05,2.2233710199826007e-05
1995-04-09,3.83488821422695e-05,4.509385706641389e-05,4.8973808137953156e-05,9.747091352396708e-05,2.1816542705055397e-05
1995-04-10,3.94683165361176e-05,4.331897275289265e-05,4.952213005671169e-05,9.60725032856935e-05,1.986823636102031e-05
1995-04-11,3.908564167054429e-05,4.475908251366789e-05,4.9099510473604724e-05,9.651618210559931e-05,2.0197612108141527e-05
1995-04-12,3.8363802199681274e-05,4.52093533862552e-05,4.872760861207581e-05,9.522253249194534e-05,1.93753039721134e-05
1995-04-13,3.798395631493534e-05,4.199783933844792e-05,4.816641991811643e-05,9.364005889667126e-05,1.9032318029577056e-05
1995-04-14,3.746045744246196e-05,3.901661487115682e-05,4.737855673919711e-05,9.268390912953173e-05,1.9578267178133046e-05
1995-04-15,3.667488758374304e-05,4.189562350020992e-05,4.7326924423440886e-05,9.299521795846921e-05,1.848560821637868e-05
1995-04-16,3.573964896452786e-05,3.891168624181596e-05,4.71444341261229e-05,9.095138229842092e-05,1.7752794199576982e-05
1995-04-17,3.515017140065524e-05,3.735873576626858e-05,4.7942643811804686e-05,9.055931053536526e-05,1.9043124232398512e-05
1995-04-18,3.541944519236395e-05,3.7560885831178226e-05,4.8175064905953136e-05,9.029713400754424e-05,1.8774804829702063e-05
1995-04-19,3.555254034171007e-05,3.6803382342576185e-05,4.748337853355267e-05,8.879283186935538e-05,1.85247097805874e-05
1995-04-20,3.592120299367174e-05,3.6583449581018e-05,4.738590899755479e-05,8.958285403370958e-05,1.8144326423330526e-05
1995-04-21,3.5101525136749245e-05,3.6785108734394e-05,4.697187062241426e-05,8.947738085240964e-05,1.7403615422129093e-05
1995-04-22,3.572651774930158e-05,3.5492091424504935e-05,4.755015223967263e-05,8.790751881559977e-05,1.6985163480587318e-05
1995-04-23,3.607180127929155e-05,3.426756650304341e-05,4.7378072899562085e-05,8.761564954617995e-05,1.73995132366489e-05
1995-04-24,3.6981291486437584e-05,3.432749246523592e-05,4.738483582999997e-05,8.626513441067907e-05,1.7693488392422907e-05
1995-04-25,3.662328036879714e-05,3.452880102061684e-05,4.7115746446113604e-05,8.740493839165531e-05,1.7843610298662327e-05
1995-04-26,3.43416384247508e-05,3.417465517596696e-05,4.676387709734442e-05,8.750571350790715e-05,1.665457790545055e-05
1995-04-27,3.432338376851973e-05,3.7801556408645354e-05,4.651843381697773e-05,8.685434879307508e-05,1.7312327135199368e-05
1995-04-28,3.3490953031289905e-05,3.541560086262052e-05,4.682174094083891e-05,8.525361259015263e-05,1.698408062500434e-05
1995-04-29,3.296265271135468e-05,3.47205672648343e-05,4.7041480156551074e-05,8.309785538429537e-05,1.6452253086329804e-05
1995-04-30,3.19300468649697e-05,3.610871985526565e-05,4.740187404506102e-05,8.239903548590277e-05,1.5930131970431916e-05
1995-05-01,3.21241251708404e-05,3.9579749884888216e-05,4.726235008933877e-05,8.230680184251327e-05,1.6172508128686758e-05
1995-05-02,3.1625489778530635e-05,3.9670173070716075e-05,4.7255057954886936e-05,8.24872589388903e-05,1.5551544632064207e-05
1995-05-03,3.067801846112772e-05,4.000674251880554e-05,4.688793565676974e-05,8.359644645583586e-05,1.5670061956907233e-05
1995-05-04,3.0493591288927036e-05,3.826542067963956e-05,4.613231806938067e-05,8.403148489932732e-05,1.54601484001482e-05
1995-05-05,2.904431038586175e-05,3.730348063712974e-05,4.7022544356956075e-05,8.29232451673434e-05,1.4825109967864236e-05
1995-05-06,2.903926456410133e-05,3.9468778856299735e-05,4.620222682771846e-05,8.183452340237984e-05,1.3621887482218042e-05
1995-05-07,2.976290253497993e-05,3.96310217110063e-05,4.70270554926433e-05,8.161003821793855e-05,1.4402949678027355e-05
1995-05-08,3.0200121306833694e-05,3.787975739433236e-05,4.643904790935238e-05,8.006630627854783e-05,1.3996048889186596e-05
1995-05-09,3.088024687625257e-05,4.009468735155508e-05,4.6031161178738955e-05,7.97233655913665e-05,1.3781038789684175e-05
1995-05-10,3.115263173025795e-05,4.23317861524275e-05,4.552886055919636e-05,8.116911192135312e-05,1.3205348085465474e-05
1995-05-11,3.118780363475793e-05,4.1686252822525915e-05,4.516548430255618e-05,8.07010012249254e-05,1.2275878300549437e-05
1995-05-12,3.138667681912288e-05,4.4946676860613266e-05,4.483672731470101e-05,8.230202783310325e-05,1.2338063091421603e-05
1995-05-13,3.1092269684229734e-05,4.6664105080473917e-05,4.493914306746838e-05,8.424266203377329e-05,1.222668154254869e-05
1995-05-14,3.062395667674522e-05,4.5799697763415637e-05,4.47266119847356e-05,8.369411180653152e-05,1.23178657771561e-05
1995-05-15,2.896722715739486e-05,4.391686848803644e-05,4.422969320350134e-05,8.381797888024067e-05,1.2079133679954168e-05
1995-05-16,2.950869378315346e-05,4.5003060345161217e-05,4.419026035695772e-05,8.32539212631822e-05,1.2185394665742422e-05
1995-05-17,2.755189953651538e-05,4.3455769258349264e-05,4.456113004858153e-05,8.330589245630904e-05,1.1884053433552921e-05
1995-05-18,2.740868279094144e-05,4.629158535385258e-05,4.452367490026532e-05,8.318355718528458e-05,1.1685143002093668e-05
1995-05-19,2.7027998698248012e-05,4.27120407944237e-05,4.469845921728499e-05,8.255562716930065e-05,1.1572907864243476e-05
1995-05-20,2.6752599285861933e-05,4.3203427072757705e-05,4.450965065694312e-05,8.372759589247991e-05,1.1440902913495421e-05
1995-05-21,2.6326944184695833e-05,4.242320383851528e-05,4.444350174992451e-05,8.33595436093848e-05,1.0852735864874674e-05
1995-05-22,2.629972093726174e-05,4.365049051857639e-05,4.473368211632689e-05,8.528441159749711e-05,1.0469115958144926e-05
1995-05-23,2.515762333366034e-05,4.538927081521038e-05,4.445185522006234e-05,8.481896742895678e-05,9.586584457377256e-06
1995-05-24,2.4794682941253754e-05,4.656096465494031e-05,4.465013290988473e-05,8.607720000619601e-05,9.258548457014015e-06
1995-05-25,2.6009339700872047e-05,4.628618225277492e-05,4.423419487609159e-05,8.665747409364322e-05,9.166805563953773e-06
1995-05-26,2.567233321015827e-05,4.4938874840694254e-05,4.373196159779269e-05,8.626545984724565e-05,1.008829168736014e-05
1995-05-27,2.535961068939052e-05,4.389756493261565e-05,4.379750311622743e-05,8.604822495561493e-05,1.0169542625337868e-05
1995-05-28,2.5069506354835625e-05,4.3125411813838e-05,4.364146796831392e-05,8.5984962064245e-05,1.0398106021547449e-05
1995-05-29,2.6074602558878723e-05,4.38225049186336e-05,4.371599214114674e-05,8.631281412441183e-05,8.111122312470798e-06
1995-05-30,2.6466755772114325e-05,4.327787879243594e-05,4.362636878507686e-05,8.571278946223337e-05,7.91988372927932e-06
1995-05-31,2.5350515279187746e-05,4.4451634786391026e-05,4.389804506410577e-05,8.571056210326944e-05,7.19728229969796e-06
1995-06-01,2.6238948837464804e-05,4.3153002853735245e-05,4.377526794652198e-05,8.388247433432916e-05,7.354328308561975e-06
1995-06-02,2.5525346719845743e-05,4.347595237330637e-05,4.36953129037132e-05,8.284008422121403e-05,7.62474172222305e-06
1995-06-03,2.5678083862334944e-05,4.492231423003368e-05,4.4215129453961666e-05,8.323833628853805e-05,7.120602297128187e-06
1995-06-04,2.5946473942939363e-05,4.490314902749759e-05,4.3961459014418836e-05,8.251295032724038e-05,7.899139532474564e-06
1995-06-05,2.5370479791675393e-05,4.5066770626212005e-05,4.350869765112897e-05,8.179304544064792e-05,8.421186618923215e-06
1995-06-06,2.661728065778135e-05,4.553912766813717e-05,4.3292285432983135e-05,8.057150041107519e-05,8.04464492487611e-06
1995-06-07,2.757522512730759e-05,4.325408467442671e-05,4.251181042946861e-05,8.015552562645745e-05,8.57418685806799e-06
1995-06-08,2.9184432088324996e-05,4.2763127525047295e-05,4.215045515043592e-05,8.128993133538209e-05,8.297919886768312e-06
1995-06-09,2.9969054772482906e-05,4.178361412865428e-05,4.303187450016566e-05,8.042919558226558e-05,6.9188106903705915e-06
1995-06-10,2.9727072160978807e-05,4.1771555420178075e-05,4.331662185963481e-05,8.052294715232833e-05,7.275072440249275e-06
1995-06-11,2.7954934230356443e-05,4.23794179598147e-05,4.326268964471858e-05,8.013820467889232e-05,7.221257949385773e-06
1995-06-12,2.653778638928017e-05,4.5856868202243106e-05,4.3535259867111264e-05,7.951959210372728e-05,7.421045630229273e-06
1995-06-13,2.5527699875738108e-05,4.611099016060827e-05,4.358941085302881e-05,7.646205150413365e-05,6.2992373339731955e-06
1995-06-14,2.4721555272666507e-05,4.614845979866722e-05,4.303600391963869e-05,7.508336596639964e-05,5.947713071829952e-06
1995-06-15,2.3316653179117353e-05,4.590633010592704e-05,4.3257457716938674e-05,7.604724194543167e-05,6.7632523994554106e-06
1995-06-16,2.201800907597473e-05,4.522553635255555e-05,4.25142572944015e-05,7.686457218514242e-05,5.94495594841149e-06
1995-06-17,2.1827716081723736e-05,4.391940734294053e-05,4.227086286867632e-05,7.616924880515796e-05,6.02536715699209e-06
1995-06-18,2.205279132527771e-05,4.547158762169268e-05,4.219465359933672e-05,7.634772297215875e-05,5.7340018608798005e-06
1995-06-19,2.085624586212198e-05,4.403709730427252e-05,4.295135241139114e-05,7.634309995041555e-05,5.603703710166386e-06
1995-06-20,2.177652937973562e-05,4.417429401692985e-05,4.297191705404657e-05,7.571993113764108e-05,5.741816792692589e-06
1995-06-21,2.201248252964305e-05,4.3529948997811374e-05,4.342404197843486e-05,7.354360316158548e-05,5.371234287565585e-06
1995-06-22,2.152007006950285e-05,4.166969562491296e-05,4.307424405936011e-05,7.403745261669314e-05,5.439714174881871e-06
1995-06-23,2.1440995512822525e-05,4.5207234635080695e-05,4.299834196186403e-05,7.489313097597261e-05,4.845642390227667e-06
1995-06-24,2.1092788662357975e-05,4.7376148616606883e-05,4.264885129701135e-05,7.560245674054222e-05,4.287232737043567e-06
1995-06-25,2.2441957518992695e-05,4.613108480122641e-05,4.24748791529872e-05,7.605443724689742e-05,3.500536842837576e-06
1995-06-26,2.3470403580860832e-05,4.731778507505169e-05,4.2719189838447136e-05,7.705948490976944e-05,2.9966061498853946e-06
1995-06-27,2.246944973993692e-05,4.441242252228861e-05,4.240064271243682e-05,7.814046815401987e-05,2.956576071522221e-06
1995-06-28,2.2274607234695765e-05,4.357600204230039e-05,4.202801593411465e-05,7.868071076222449e-05,3.0200771807820104e-06
1995-06-29,2.3761079803730212e-05,4.475739850895444e-05,4.222860764913072e-05,7.796817394001287e-05,2.976736780180289e-06
1995-06-30,2.365613602584027e-05,4.501441357929181e-05,4.267757499043512e-05,7.88023535125415e-05,1.448115567903585e-06
1995-07-01,2.4425422290086374e-05,4.819139235534564e-05,4.336365073243087e-05,7.861736959280385e-05,1.7993476069122494e-06
1995-07-02,2.429832793260367e-05,4.4369545293410084e-05,4.346643668595718e-05,7.553023644191192e-05,1.276587551890529e-06
1995-07-03,2.4749915047639348e-05,4.4481052173805935e-05,4.280774374820773e-05,7.563604087046372e-05,7.452362105198063e-07
1995-07-04,2.3667626297907418e-05,4.4914801231144e-05,4.307081384791189e-05,7.501682706423374e-05,-3.765675772315902e-07
1995-07-05,2.3395049999042072e-05,4.434951824627831e-05,4.3299609688407514e-05,7.400123117973223e-05,-9.1237126687016e-07
1995-07-06,2.2935626535325326e-05,4.387216888379619e-05,4.3721606076685404e-05,7.19585407886747e-05,-1.1358879343781325e-06
1995-07-07,2.4024226000562976e-05,4.257955331699037e-05,4.4338903635310345e-05,7.097925837817876e-05,-1.759619545183e-06
1995-07-08,2.3358566136666425e-05,4.0709924385318175e-05,4.4660678140573395e-05,7.18682509854851e-05,-2.6900838067112076e-06
1995-07-09,2.3676393653859762e-05,4.120497171999915e-05,4.4987410610763945e-05,7.132627533912306e-05,-2.7637688658765924e-06
1995-07-10,2.3432602127781976e-05,4.1588312299944974e-05,4.507406051912355e-05,7.208660216329044e-05,-3.302140007543919e-06
1995-07-11,2.3138605452110994e-05,3.832991814900488e-05,4.4912370713356964e-05,7.190584338734318e-05,-4.272557843076896e-06
1995-07-12,2.3269108526458027e-05,3.938486534660335e-05,4.509615728398586e-05,7.350176664777663e-05,-5.1044948777834165e-06
1995-07-13,2.2085706468555344e-05,4.114960218570829e-05,4.4747299236425064e-05,7.331513634545317e-05,-5.099684845411012e-06
1995-07-14,2.2089392117896622e-05,4.138632517691754e-05,4.4433175317104556e-05,7.252113556721618e-05,-4.400782988578378e-06
1995-07-15,2.2958339011225348e-05,3.970526262264684e-05,4.375532723721598e-05,7.137439737148199e-05,-5.120782956891112e-06
1995-07-16,2.3120440246771068e-05,4.070267565547958e-05,4.4331415792298046e-05,7.121230442952431e-05,-4.696868766029816e-06
1995-07-17,2.3196290102944772e-05,3.9061049123434444e-05,4.43780464436383e-05,7.07121915017872e-05,-5.62642460955054e-06
1995-07-18,2.3499685110950352e-05,3.871574182268134e-05,4.463462223247561e-05,7.144592279550999e-05,-4.978625784524127e-06
1995-07-19,2.2560416290895446e-05,4.122341123014017e-05,4.4542305673411775e-05,7.100194196363319e-05,-4.772069590153194e-06
1995-07-20,2.3277213305306077e-05,3.952397109707739e-05,4.5529889883821895e-05,6.986264246910956e-05,-6.791044513398958e-06
1995-07-21,2.4418227443590013e-05,3.726658711822317e-05,4.504430903873313e-05,6.90190905767718e-05,-6.447286176380906e-06
1995-07-22,2.3601496253355947e-05,3.5812628858877815e-05,4.482886030987565e-05,6.91793665517082e-05,-6.249436890426452e-06
1995-07-23,2.176057269465126e-05,3.501922113824385e-05,4.4617261221402416e-05,6.885222176844508e-05,-5.614503254647296e-06
1995-07-24,2.249417767297146e-05,3.660101670899252e-05,4.4859165920785316e-05,6.902194143010298e-05,-5.520669271619205e-06
1995-07-25,2.2289037523215427e-05,3.921140446072613e-05,4.57071861557079e-05,7.062057569973135e-05,-5.243254667108843e-06
1995-07-26,2.262541575626109e-05,3.852343802468461e-05,4.588936504656971e-05,7.20308790158608e-05,-5.053302582713748e-06
1995-07-27,2.3615886167949185e-05,3.8059158842917995e-05,4.566236357672615e-05,7.255999357069776e-05,-3.4277145570804635e-06
1995-07-28,2.4410634559490774e-05,4.0004868768317436e-05,4.6003840461272816e-05,7.357839835364643e-05,-3.912301674957597e-06
1995-07-29,2.3746701433680073e-05,4.079478916008128e-05,4.657462045321026e-05,7.362246424169605e-05,-4.661112367188025e-06
1995-07-30,2.2717620663081917e-05,4.192043032458237e-05,4.680340256957294e-05,7.286601658984537e-05,-4.05581806872668e-06
1995-07-31,2.3186518739448658e-05,4.2285078857950964e-05,4.657595393364744e-05,7.389488054454496e-05,-3.899955816399903e-06
1995-08-01,2.3103000679869368e-05,4.259047304899788e-05,4.5866854675225e-05,7.222229995007545e-05,-4.0372649591224885e-06
1995-08-02,2.2309452729407653e-05,4.1544188733144694e-05,4.612008622784103e-05,7.331643199770532e-05,-4.601038149587566e-06
1995-08-03,2.2045728992559077e-05,4.1172621379148566e-05,4.6698992586025057e-05,7.332709503238277e-05,-5.287335064441123e-06
1995-08-04,2.0885113137136813e-05,4.278300870752538e-05,4.668216545433701e-05,7.2058587970103e-05,-6.265105342850852e-06
1995-08-05,2.0667168028731808e-05,4.2094819820315266e-05,4.685564590944935e-05,7.22318181356485e-05,-5.253259429016666e-06
1995-08-06,2.0429607817673556e-05,3.9005854899354375e-05,4.762064920704745e-05,7.206897246381239e-05,-5.0380346884315585e-06
1995-08-07,1.9763296037478284e-05,4.082122918425135e-05,4.7998186855080505e-05,7.252157669257464e-05,-5.7728938154255616e-06
1995-08-08,2.0102860613047113e-05,4.217125493566343e-05,4.752964681675742e-05,7.26171757874372e-05,-5.895579174186594e-06
1995-08-09,1.9642027491162395e-05,4.156858731341195e-05,4.676148236026911e-05,7.384086572370663e-05,-4.920701068722444e-06
